soil_moisture,temperature,humidity,light,time_since_irrigation,irrigation_needed,moisture_drop_rate
38.92,30.0,72.8,36,-1485,0,0.0
40.14,30.1,72.1,30,-1482,0,0.4067
37.93,30.4,71.5,43,-1479,0,-0.7367
40.41,30.6,70.1,31,-1476,0,0.8267
38.38,30.6,70.0,29,-1473,0,-0.6767
38.24,30.8,69.5,31,-1470,0,-0.0467
38.2,30.9,67.6,25,-1467,0,-0.0133
38.42,30.8,69.3,30,-1464,0,0.0733
35.59,30.9,69.1,30,-1461,0,-0.9433
37.03,30.9,69.0,27,-1458,0,0.48
37.52,31.0,68.2,27,-1455,0,0.1633
36.85,30.9,68.6,28,-1452,0,-0.2233
35.86,30.7,68.9,26,-1449,0,-0.33
35.68,31.0,68.2,28,-1446,0,-0.06
36.26,31.1,67.0,27,-1443,0,0.1933
35.9,31.0,67.8,30,-1440,0,-0.12
36.17,31.0,67.9,27,-1437,0,0.09
38.11,31.0,68.3,28,-1434,0,0.6467
41.17,31.0,68.0,31,-1431,0,1.02
34.95,30.9,68.0,27,-1428,0,-2.0733
31.58,31.0,68.7,24,-1425,0,-1.1233
32.97,31.0,68.1,24,-1422,0,0.4633
30.45,30.9,67.6,26,-1419,0,-0.84
26.89,31.0,68.9,20,-1416,0,-1.1867
28.15,31.0,68.5,16,-1413,0,0.42
28.83,30.7,68.9,16,-1410,0,0.2267
26.62,30.5,69.6,16,-1407,0,-0.7367
27.21,30.5,69.7,16,-1404,0,0.1967
27.61,30.7,69.3,13,-1401,0,0.1333
28.83,30.8,68.8,59,-1398,0,0.4067
29.5,30.6,69.6,15,-1395,0,0.2233
26.62,30.7,70.8,16,-1392,0,-0.96
30.23,30.9,69.7,16,-1389,0,1.2033
30.32,31.0,69.8,16,-1386,0,0.03
29.91,31.0,69.5,16,-1383,0,-0.1367
32.25,31.0,69.7,11,-1380,0,0.78
33.06,30.5,70.6,14,-1377,0,0.27
32.16,30.4,71.3,15,-1374,0,-0.3
32.75,30.4,71.4,16,-1371,0,0.1967
34.23,30.4,71.5,14,-1368,0,0.4933
32.84,30.3,71.6,15,-1365,0,-0.4633
34.59,30.4,70.9,16,-1362,0,0.5833
34.86,30.5,70.5,16,-1359,0,0.09
33.83,30.6,70.3,16,-1356,0,-0.3433
35.5,30.5,70.6,16,-1353,0,0.5567
33.74,30.8,69.7,14,-1350,0,-0.5867
33.15,30.9,69.7,16,-1347,0,-0.1967
33.92,30.9,69.3,16,-1344,0,0.2567
34.82,30.9,69.4,15,-1341,0,0.3
37.57,30.9,69.4,15,-1338,0,0.9167
35.72,30.5,70.6,16,-1335,0,-0.6167
36.94,31.1,68.8,0,-1332,0,0.4067
35.86,31.1,69.1,16,-1329,0,-0.36
35.14,31.0,69.9,15,-1326,0,-0.24
32.12,30.8,70.9,15,-1323,0,-1.0067
34.28,30.9,70.8,16,-1320,0,0.72
33.2,30.8,71.5,16,-1317,0,-0.36
33.69,30.7,71.7,22,-1314,0,0.1633
34.55,30.6,72.3,15,-1311,0,0.2867
34.23,30.5,72.9,16,-1308,0,-0.1067
34.59,30.3,74.6,15,-1305,0,0.12
35.41,30.3,76.5,16,-1302,0,0.2733
36.04,30.2,76.1,16,-1299,0,0.21
35.99,30.2,76.3,16,-1296,0,-0.0167
37.16,30.1,77.6,14,-1293,0,0.39
38.11,29.9,78.5,15,-1290,0,0.3167
37.61,29.8,78.5,16,-1287,0,-0.1667
37.93,29.7,78.9,11,-1284,0,0.1067
