timestamp,timestamp_readable,soil_moisture,temperature,humidity,light,last_irrigated,time_since_irrigation,irrigation_needed,irrigation_event,minutes,moisture_drop_rate
45994.47292,03-12-2025 11:21,38.92,30,72.8,36,,-1485,0,0,0,0
45994.475,03-12-2025 11:24,40.14,30.1,72.1,30,,-1482,0,0,3,0.4067
45994.47708,03-12-2025 11:27,37.93,30.4,71.5,43,,-1479,0,0,3,-0.7367
45994.47917,03-12-2025 11:30,40.41,30.6,70.1,31,,-1476,0,0,3,0.8267
45994.48125,03-12-2025 11:33,38.38,30.6,70,29,,-1473,0,0,3,-0.6767
45994.48333,03-12-2025 11:36,38.24,30.8,69.5,31,,-1470,0,0,3,-0.0467
45994.48542,03-12-2025 11:39,38.2,30.9,67.6,25,,-1467,0,0,3,-0.0133
45994.4875,03-12-2025 11:42,38.42,30.8,69.3,30,,-1464,0,0,3,0.0733
45994.48958,03-12-2025 11:45,35.59,30.9,69.1,30,,-1461,0,0,3,-0.9433
45994.49167,03-12-2025 11:48,37.03,30.9,69,27,,-1458,0,0,3,0.48
45994.49375,03-12-2025 11:51,37.52,31,68.2,27,,-1455,0,0,3,0.1633
45994.49583,03-12-2025 11:54,36.85,30.9,68.6,28,,-1452,0,0,3,-0.2233
45994.49792,03-12-2025 11:57,35.86,30.7,68.9,26,,-1449,0,0,3,-0.33
45994.5,03-12-2025 12:00,35.68,31,68.2,28,,-1446,0,0,3,-0.06
45994.50208,03-12-2025 12:03,36.26,31.1,67,27,,-1443,0,0,3,0.1933
45994.50417,03-12-2025 12:06,35.9,31,67.8,30,,-1440,0,0,3,-0.12
45994.50625,03-12-2025 12:09,36.17,31,67.9,27,,-1437,0,0,3,0.09
45994.50833,03-12-2025 12:12,38.11,31,68.3,28,,-1434,0,0,3,0.6467
45994.51042,03-12-2025 12:15,41.17,31,68,31,,-1431,0,0,3,1.02
45994.5125,03-12-2025 12:18,34.95,30.9,68,27,,-1428,0,0,3,-2.0733
45994.51458,03-12-2025 12:21,31.58,31,68.7,24,,-1425,0,0,3,-1.1233
45994.51667,03-12-2025 12:24,32.97,31,68.1,24,,-1422,0,0,3,0.4633
45994.51875,03-12-2025 12:27,30.45,30.9,67.6,26,,-1419,0,0,3,-0.84
45994.52083,03-12-2025 12:30,26.89,31,68.9,20,,-1416,0,0,3,-1.1867
45994.52292,03-12-2025 12:33,28.15,31,68.5,16,,-1413,0,0,3,0.42
